impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Pesticide, switchgrass - RNA","Pesticide, switchgrass",m2,3.6248e-09,1.2127e-09,0.0090969,2.3858e-06,3.6413e-15,1.1167e-10,1.6879e-10,4.953e-15,1.2691e-07
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Planting, switchgrass, 2022 - RNA","Planting, switchgrass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Spring wheat straw, carted, 2022 - RNA","Spring wheat straw, carted",kg,2.2487e-06,7.523e-07,0.00097311,0.00148,2.2589e-12,3.8392e-10,1.0471e-07,3.0726e-12,7.8726e-05
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Spring wheat straw, ground and stored, 2022 - RNA","Spring wheat straw, ground and stored",kg,6.3826e-05,6.2518e-06,1.4931,0.031441,3.2139e-09,5.9075e-07,3.972e-06,5.583e-10,0.0015014
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Switchgrass, carted, 2022 - RNA","Switchgrass, carted",kg,0.0017746,0.00011284,0.022906,0.31804,3.6763e-11,6.8065e-09,6.2878e-05,9.4522e-12,0.00028965
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Switchgrass, ground and stored, 2022 - RNA","Switchgrass, ground and stored",kg,0.0024511,0.00015793,2.2603,0.46705,4.8483e-09,8.913e-07,8.9356e-05,8.4098e-10,0.002473
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Switchgrass, harvested, wet - RNA","Switchgrass, harvested, wet",kg,0.0017723,0.00011209,0.021928,0.31655,3.4493e-11,6.4207e-09,6.2773e-05,6.3646e-12,0.00021054
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Tillage, conservation, corn production - RNA","Tillage, conservation, corn production",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Tillage, intensive, corn production - RNA","Tillage, intensive, corn production",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Tillage, reduce, corn production - RNA","Tillage, reduce, corn production",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Winter wheat straw, carted - RNA","Winter wheat straw, carted",kg,0.00072872,0.00012312,0.013758,0.020715,3.3276e-11,5.5385e-09,2.5984e-05,8.3375e-12,0.00027332
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Winter wheat straw, ground and stored - RNA","Winter wheat straw, ground and stored",kg,0.0009987,0.0001663,0.74182,0.041845,1.6015e-09,2.9363e-07,3.6418e-05,2.7988e-10,0.0010409
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, off-shore domestic, at extraction - US","Crude oil, at extraction",kg,0.0005715,3.5661e-05,0.98548,0.23389,2.1212e-09,3.8991e-07,1.6586e-05,3.6743e-10,0.019473
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, off-shore import, at extraction - US","Crude oil, at extraction",kg,0.0006822,4.2304e-05,0.98548,0.27709,2.1212e-09,3.8991e-07,1.9538e-05,3.6743e-10,0.02334
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, on-shore domestic, at extraction - US","Crude oil, at extraction",kg,0.00044622,2.427e-05,0.98617,0.37261,2.3566e-09,3.914e-07,2.4684e-05,2.3699e-09,0.028435
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, on-shore import, at extraction - US","Crude oil, at extraction",kg,0.00055627,2.9805e-05,0.98636,0.46769,2.4214e-09,3.9181e-07,3.0785e-05,2.9274e-09,0.036001
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, production mixture, at extraction - US","Crude oil, production mixture, at extraction",kg,0.00052394,2.9261e-05,0.98601,0.38722,2.3364e-09,3.9123e-07,2.5793e-05,2.2025e-09,0.030038
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, Barnett Shale, at extraction - US","Natural gas, at extraction",kg,0.0021888,0.00013926,1.1255,0.24612,2.4183e-09,4.4448e-07,2.6126e-05,4.1856e-10,0.076772
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, Marcellus Shale, at extraction - US","Natural gas, at extraction",kg,0.0021888,0.00013926,1.1255,0.24612,2.4183e-09,4.4448e-07,2.6126e-05,4.1856e-10,0.076772
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, at processing, conventional, kg - US","Natural gas, at processing, conventional, kg",kg,0.0027705,0.00015866,0.86718,0.37662,1.6657e-09,3.1235e-07,5.9322e-05,2.9098e-10,0.082298
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, at processing, shale, kg - US","Natural gas, at processing, shale, kg",kg,0.0027777,0.00015911,0.86731,0.38194,1.6659e-09,3.124e-07,5.9897e-05,2.9103e-10,0.082549
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, coal bed methane, at extraction - US","Natural gas, at extraction",kg,0.0028515,0.00018007,2.2077,0.28912,7.5171e-11,1.6279e-07,3.0964e-05,1.447e-11,0.10075
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, conventional offshore, at extraction - US","Natural gas, at extraction",kg,0.00024984,0.00011261,0.034896,0.24518,7.0152e-11,1.2819e-08,4.0444e-06,1.3687e-11,0.0081462
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, conventional onshore associated, at extraction - US","Natural gas, at extraction",kg,0.0027058,0.00017088,0.034828,0.30387,6.9991e-11,1.2792e-08,2.9356e-05,1.3473e-11,0.095991
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, conventional onshore, at extraction - US","Natural gas, at extraction",kg,0.0027198,0.00017174,0.03767,0.28936,7.5702e-11,1.3836e-08,2.9608e-05,1.4572e-11,0.096062
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, processed, for energy use, at plant","Natural gas, production mixture, to energy use",kg,0.002774,0.00015888,0.86724,0.37922,1.6658e-09,3.1237e-07,5.9604e-05,2.91e-10,0.082421
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, processed, for material use, at plant","Natural gas, production mixture, to material use",kg,0.002774,0.00015888,0.86724,0.37922,1.6658e-09,3.1237e-07,5.9604e-05,2.91e-10,0.082421
