impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Pesticide, switchgrass - RNA","Pesticide, switchgrass",m2,3.6438e-09,1.2159e-09,0.0090971,2.3886e-06,3.8438e-15,1.1172e-10,1.7198e-10,4.9772e-15,1.2719e-07
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Planting, switchgrass, 2022 - RNA","Planting, switchgrass",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Spring wheat straw, carted, 2022 - RNA","Spring wheat straw, carted",kg,2.2604e-06,7.5431e-07,0.0010547,0.0014818,2.3845e-12,4.1148e-10,1.0669e-07,3.0876e-12,7.89e-05
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Spring wheat straw, ground and stored, 2022 - RNA","Spring wheat straw, ground and stored",kg,8.1607e-05,5.1665e-06,1.5694,0.038146,3.3028e-09,6.139e-07,6.6681e-06,5.4587e-10,0.0017741
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Switchgrass, carted, 2022 - RNA","Switchgrass, carted",kg,0.0017748,0.00011283,0.023809,0.31811,3.7849e-11,7.0835e-09,6.2909e-05,9.3359e-12,0.00029273
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Switchgrass, ground and stored, 2022 - RNA","Switchgrass, ground and stored",kg,0.002478,0.00015629,2.3754,0.47716,4.9824e-09,9.2622e-07,9.3423e-05,8.2221e-10,0.0028843
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Switchgrass, harvested, wet - RNA","Switchgrass, harvested, wet",kg,0.0017725,0.00011208,0.022749,0.31662,3.5452e-11,6.67e-09,6.2801e-05,6.2332e-12,0.00021345
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Tillage, conservation, corn production - RNA","Tillage, conservation, corn production",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Tillage, intensive, corn production - RNA","Tillage, intensive, corn production",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Tillage, reduce, corn production - RNA","Tillage, reduce, corn production",m2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Winter wheat straw, carted - RNA","Winter wheat straw, carted",kg,0.00072887,0.00012312,0.014443,0.020769,3.4109e-11,5.7497e-09,2.6007e-05,8.2569e-12,0.00027563
"11: Agriculture, Forestry, Fishing and Hunting/1151: Support Activities for Crop Production","Winter wheat straw, ground and stored - RNA","Winter wheat straw, ground and stored",kg,0.0010075,0.00016576,0.77969,0.045168,1.6457e-09,3.0512e-07,3.7755e-05,2.7374e-10,0.0011761
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, off-shore domestic, at extraction - US","Crude oil, at extraction",kg,0.00057934,3.4381e-05,1.0978,0.22939,2.3102e-09,4.2943e-07,1.8536e-05,3.7934e-10,0.019464
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, off-shore import, at extraction - US","Crude oil, at extraction",kg,0.00069004,4.1024e-05,1.0978,0.27259,2.3102e-09,4.2943e-07,2.1489e-05,3.7934e-10,0.02333
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, on-shore domestic, at extraction - US","Crude oil, at extraction",kg,0.00045406,2.2989e-05,1.0985,0.3681,2.5455e-09,4.3092e-07,2.6635e-05,2.3818e-09,0.028425
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, on-shore import, at extraction - US","Crude oil, at extraction",kg,0.00056411,2.8525e-05,1.0987,0.46319,2.6104e-09,4.3133e-07,3.2735e-05,2.9393e-09,0.035992
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Crude oil, production mixture, at extraction - US","Crude oil, production mixture, at extraction",kg,0.00053178,2.7981e-05,1.0983,0.38272,2.5254e-09,4.3075e-07,2.7744e-05,2.2144e-09,0.030029
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, Barnett Shale, at extraction - US","Natural gas, at extraction",kg,0.0022022,0.00013844,1.1828,0.25116,2.4851e-09,4.6188e-07,2.8152e-05,4.0921e-10,0.076977
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, Marcellus Shale, at extraction - US","Natural gas, at extraction",kg,0.0022022,0.00013844,1.1828,0.25116,2.4851e-09,4.6188e-07,2.8152e-05,4.0921e-10,0.076977
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, at processing, conventional, kg - US","Natural gas, at processing, conventional, kg",kg,0.0027797,0.00015809,0.90667,0.38008,1.7117e-09,3.2433e-07,6.0717e-05,2.8455e-10,0.082439
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, at processing, shale, kg - US","Natural gas, at processing, shale, kg",kg,0.0027869,0.00015854,0.90681,0.38541,1.712e-09,3.2439e-07,6.1292e-05,2.846e-10,0.08269
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, coal bed methane, at extraction - US","Natural gas, at extraction",kg,0.0028519,0.00018005,2.2095,0.28927,7.7207e-11,1.6332e-07,3.1024e-05,1.4208e-11,0.10076
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, conventional offshore, at extraction - US","Natural gas, at extraction",kg,0.00025021,0.00011259,0.036511,0.24532,7.2056e-11,1.3311e-08,4.1008e-06,1.3444e-11,0.0081519
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, conventional onshore associated, at extraction - US","Natural gas, at extraction",kg,0.0027062,0.00017086,0.036438,0.30401,7.1887e-11,1.3282e-08,2.9413e-05,1.3229e-11,0.095997
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, conventional onshore, at extraction - US","Natural gas, at extraction",kg,0.0027202,0.00017171,0.039411,0.28951,7.7752e-11,1.4366e-08,2.9669e-05,1.4309e-11,0.096068
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, processed, for energy use, at plant","Natural gas, production mixture, to energy use",kg,0.0027832,0.00015831,0.90674,0.38269,1.7118e-09,3.2436e-07,6.0999e-05,2.8458e-10,0.082562
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, processed, for material use, at plant","Natural gas, production mixture, to material use",kg,0.0027832,0.00015831,0.90674,0.38269,1.7118e-09,3.2436e-07,6.0999e-05,2.8458e-10,0.082562
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, production mixture, at extraction - US","Natural gas, production mixture, at extraction",kg,0.002217,0.00015063,0.63869,0.26964,1.1477e-09,2.1952e-07,2.6157e-05,1.8981e-10,0.077922
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, production mixture, at processing - US","Natural gas, production mixture, at processing",kg,0.0027832,0.00015831,0.90674,0.38269,1.7118e-09,3.2436e-07,6.0999e-05,2.8458e-10,0.082562
